,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,11,0.01,0.05,0.0,5000,1000,20,500,19,0,20,0.0,0.0,0.0,0.0,,0.079002079002079,0.079002079002079,20,19
0,11,0.01,0.05,0.0,5000,1000,30,500,29,0,30,0.0,0.0,0.0,0.0,,0.0804438280166435,0.0804438280166435,30,29
0,11,0.01,0.05,0.0,5000,1000,40,500,38,0,40,0.0,0.0,0.0,0.0,,0.0790842872008324,0.0790842872008324,40,38
0,11,0.01,0.05,0.1,100000,0,10,500,4,6,4,0.6,0.6,0.6,0.6,342.6666666666667,0.0019995001249687,0.0049987503124218,10,10
0,11,0.01,0.05,0.1,100000,0,20,500,9,11,9,0.55,0.55,0.55,0.55,338.1818181818182,0.0022497187851518,0.0049993750781152,20,20
0,11,0.01,0.05,0.1,100000,0,30,500,0,0,30,0.0,0.0,0.0,0.0,,0.0,0.0,30,0
0,11,0.01,0.05,0.1,100000,0,40,500,17,27,13,0.6136363636363636,0.675,0.675,0.6428571428571429,338.5925925925926,0.0021248671958002,0.005499656271483,40,44
0,11,0.01,0.05,0.1,100000,1000,10,500,9,0,10,0.0,0.0,0.0,0.0,,0.0044543429844097,0.0044543429844097,10,9
0,11,0.01,0.05,0.1,100000,1000,20,500,19,0,20,0.0,0.0,0.0,0.0,,0.0047023883182774,0.0047023883182774,20,19
0,11,0.01,0.05,0.1,100000,1000,30,500,1,30,0,0.967741935483871,1.0,1.0,0.9836065573770492,943.9333333333332,0.0001650028875505,0.0051150895140664,30,31
0,11,0.01,0.05,0.1,100000,1000,40,500,0,0,40,0.0,0.0,0.0,0.0,,0.0,0.0,40,0
0,11,0.01,0.05,0.1,5000,0,10,500,3,7,3,0.7,0.7,0.7,0.7,352.57142857142856,0.0298507462686567,0.099502487562189,10,10
0,11,0.01,0.05,0.1,5000,0,20,500,8,12,8,0.6,0.6,0.6,0.6,350.6666666666667,0.0399002493765586,0.0997506234413965,20,20
0,11,0.01,0.05,0.1,5000,0,30,500,11,19,11,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,370.5263157894737,0.0366056572379367,0.0998336106489184,30,30
0,11,0.01,0.05,0.1,5000,0,40,500,21,17,23,0.4473684210526316,0.425,0.425,0.4358974358974359,406.2352941176471,0.0524344569288389,0.0948813982521847,40,38
0,11,0.01,0.05,0.1,5000,1000,10,500,0,10,0,1.0,1.0,1.0,1.0,1156.0,0.0,0.0829875518672199,10,10
0,11,0.01,0.05,0.1,5000,1000,20,500,18,0,20,0.0,0.0,0.0,0.0,,0.0748440748440748,0.0748440748440748,20,18
0,11,0.01,0.05,0.1,5000,1000,30,500,29,0,30,0.0,0.0,0.0,0.0,,0.0804438280166435,0.0804438280166435,30,29
0,11,0.01,0.05,0.1,5000,1000,40,500,30,0,40,0.0,0.0,0.0,0.0,,0.0624349635796045,0.0624349635796045,40,30
0,11,0.01,0.3,0.0,100000,0,10,500,0,10,0,1.0,1.0,1.0,1.0,47.2,0.0,0.0049987503124218,10,10
0,11,0.01,0.3,0.0,100000,0,20,500,5,20,0,0.8,1.0,1.0,0.888888888888889,50.0,0.0012498437695288,0.006249218847644,20,25
0,11,0.01,0.3,0.0,100000,0,30,500,110,30,0,0.2142857142857142,1.0,1.0,0.3529411764705882,46.43333333333333,0.0183318056828597,0.0233313890509124,30,140
0,11,0.01,0.3,0.0,100000,0,40,500,151,40,0,0.2094240837696335,1.0,1.0,0.3463203463203463,46.725,0.0188738203862258,0.0238735079057558,40,191
0,11,0.01,0.3,0.0,100000,1000,10,500,11,19,0,0.6333333333333333,1.0,1.0,0.7755102040816326,281.6,0.0054441969809453,0.0148478099480326,10,30
0,11,0.01,0.3,0.0,100000,1000,20,500,5,20,0,0.8,1.0,1.0,0.888888888888889,506.75,0.001237470610073,0.006187353050365,20,25
0,11,0.01,0.3,0.0,100000,1000,30,500,2,30,0,0.9375,1.0,1.0,0.967741935483871,557.1666666666666,0.000330005775101,0.005280092401617,30,32
0,11,0.01,0.3,0.0,100000,1000,40,500,60,53,0,0.4690265486725664,1.0,1.0,0.6385542168674698,548.075,0.0074252830889177,0.0139842831507951,40,113
0,11,0.01,0.3,0.0,5000,0,10,500,9,11,0,0.55,1.0,1.0,0.7096774193548387,40.2,0.0895522388059701,0.1990049751243781,10,20
