,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,11,0.01,0.05,0.0,100000,1000,40,500,37,1,39,0.0263157894736842,0.025,0.025,0.0256410256410256,1452.0,0.0045789245714992,0.0047026792896479,40,38
0,11,0.01,0.05,0.0,5000,0,10,500,0,10,0,1.0,1.0,1.0,1.0,349.6,0.0,0.099502487562189,10,10
0,11,0.01,0.05,0.0,5000,0,20,500,0,0,20,0.0,0.0,0.0,0.0,,0.0,0.0,20,0
0,11,0.01,0.05,0.0,5000,0,30,500,3,28,2,0.9032258064516128,0.9333333333333332,0.9333333333333332,0.918032786885246,316.42857142857144,0.0099833610648918,0.103161397670549,30,31
0,11,0.01,0.05,0.0,5000,0,40,500,6,33,7,0.8461538461538461,0.825,0.825,0.8354430379746836,317.6666666666667,0.0149812734082397,0.097378277153558,40,39
0,11,0.01,0.05,0.0,5000,1000,10,500,8,2,8,0.2,0.2,0.2,0.2,1354.0,0.0663900414937759,0.0829875518672199,10,10
0,11,0.01,0.05,0.0,5000,1000,20,500,19,0,20,0.0,0.0,0.0,0.0,,0.079002079002079,0.079002079002079,20,19
0,11,0.01,0.05,0.0,5000,1000,30,500,29,0,30,0.0,0.0,0.0,0.0,,0.0804438280166435,0.0804438280166435,30,29
0,11,0.01,0.05,0.0,5000,1000,40,500,38,0,40,0.0,0.0,0.0,0.0,,0.0790842872008324,0.0790842872008324,40,38
0,11,0.01,0.05,0.1,100000,0,10,500,4,6,4,0.6,0.6,0.6,0.6,342.6666666666667,0.0019995001249687,0.0049987503124218,10,10
0,11,0.01,0.05,0.1,100000,0,20,500,9,11,9,0.55,0.55,0.55,0.55,338.1818181818182,0.0022497187851518,0.0049993750781152,20,20
0,11,0.01,0.05,0.1,100000,0,30,500,0,0,30,0.0,0.0,0.0,0.0,,0.0,0.0,30,0
0,11,0.01,0.05,0.1,100000,0,40,500,17,27,13,0.6136363636363636,0.675,0.675,0.6428571428571429,338.5925925925926,0.0021248671958002,0.005499656271483,40,44
0,11,0.01,0.05,0.1,100000,1000,10,500,9,0,10,0.0,0.0,0.0,0.0,,0.0044543429844097,0.0044543429844097,10,9
0,11,0.01,0.05,0.1,100000,1000,20,500,18,0,20,0.0,0.0,0.0,0.0,,0.0044548941962628,0.0044548941962628,20,18
0,11,0.01,0.05,0.1,100000,1000,30,500,1,30,0,0.967741935483871,1.0,1.0,0.9836065573770492,943.9333333333332,0.0001650028875505,0.0051150895140664,30,31
0,11,0.01,0.05,0.1,100000,1000,40,500,39,0,40,0.0,0.0,0.0,0.0,,0.0048264340077965,0.0048264340077965,40,39
0,11,0.01,0.05,0.1,5000,0,10,500,3,7,3,0.7,0.7,0.7,0.7,352.57142857142856,0.0298507462686567,0.099502487562189,10,10
0,11,0.01,0.05,0.1,5000,0,20,500,8,12,8,0.6,0.6,0.6,0.6,350.6666666666667,0.0399002493765586,0.0997506234413965,20,20
0,11,0.01,0.05,0.1,5000,0,30,500,15,0,30,0.0,0.0,0.0,0.0,,0.0499168053244592,0.0499168053244592,30,15
0,11,0.01,0.05,0.1,5000,0,40,500,5,0,40,0.0,0.0,0.0,0.0,,0.0124843945068664,0.0124843945068664,40,5
