,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
138700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143290,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
143291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143531,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
143545,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
143632,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
143671,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
144037,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
144152,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0
144153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144197,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
144246,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
144247,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
145748,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
146898,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
148736,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
148858,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
148868,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
150237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
155001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155352,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
155353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155474,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155576,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
155587,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
155751,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
155928,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
156079,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0
156080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156180,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
156821,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
157330,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
157595,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
158748,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
158831,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
159092,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
160235,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
160249,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
161736,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
162846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
163065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167279,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
167280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167339,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
167523,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
167545,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
167610,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
167762,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
168367,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0
168368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168471,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
169320,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
170174,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
170567,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
171675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179407,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
179408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179520,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
179595,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
179856,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
179936,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
180107,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
180111,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0
180112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
180205,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
181721,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
182145,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
182587,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
183721,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
185222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
186256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
191001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191279,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
191280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191309,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
191519,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
191909,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
191971,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
